Jour de l'an 2019;1 jan 2019;Mardi;01
Dimanche de Pâques 2019;21 apr 2019;Dimanche;16
Pâques 2019;21 apr 2019;Dimanche;16
Lundi de Pâques 2019;22 apr 2019;Lundi;17
Fête du travail 2019;1 may 2019;Mercredi;18
Ascension 2019;30 may 2019;Jeudi;22
Dimanche de Pentecôte 2019;9 jun 2019;Dimanche;23
Pentecôte 2019;9 jun 2019;Dimanche;23
Lundi de Pentecôte 2019;10 jun 2019;Lundi;24
Fête Nationale 2019;21 jul 2019;Dimanche;29
Assomption 2019;15 aug 2019;33
Toussaint 2019;1 nov 2019;Vendredi;44
Armistice de 1918 2019;11 nov 2019;Lundi;46
Jour de Noël 2019;25 dec 2019;Mercredi;52